ACC,5633
3IINFOTECH,3014145
3MINDIA,121345
AARTIDRUGS,1147137
20MICRONS,4331777
AARTIIND,1793
AARVEEDEN,3525377
AARVI-SM,5592833
AAVAS,1378561
ABAN-BE,1986305
ABB,3329
ABBOTINDIA,4583169
ABCAPITAL,5533185
ABFRL,7707649
ABMINTLTD-BE,4416769
ABNINT-IT,2198529
ABSLNN50ET,1878785
ACC,5633
ACCELYA,1805569
ACCORD-SM,5431553
ACCURACY-SM,931585
ACE,3478273
ACEINTEG-SM,5449217
ADANIENT,6401
ADANIGAS,1552897
ADANIGREEN,912129
ADANIPORTS,3861249
ADANIPOWER,4451329
ADANITRANS,2615553
ADFFOODS,5058817
ADHUNIK-BE,3417601
ADHUNIKIND,4481793
ADLABS,1964033
ADORWELD,8705
ADROITINFO-BE,2212865
ADSL,3792129
ADVANIHOTR,3774721
ADVENZYMES,4617985
AEGISCHEM,10241
AGARIND,867585
AGCNET,879361
AGLSL,5459201
AGRITECH,2834433
AGROPHOS-BE,2330881
AHIMSA-SM,2756865
AHLADA-SM,1243905
AHLEAST,4976129
AHLUCONT,4565249
AHLWEST,4957697
AIAENG,3350017
AIFL-BZ,2588929
AIONJSW,1195777
AIRAN,2533633
AIROLAM-SM,5600001
AISL-SM,123393
AJANTPHARM,2079745
AJMERA,4430593
AJOONI-SM,232705
AKASH-SM,5081345
AKG-SM,1225217
AKSHARCHEM,5165569
AKSHOPTFBR,2199297
AKZOINDIA,375553
ALANKIT,2539777
ALBERTDAVD,4417537
ALBK,2760193
ALCHEM-BE,3795713
ALEMBICLTD,20225
ALICON,3495937
ALKALI,4341505
ALKEM,2995969
ALKYLAMINE,1148673
ALLCARGO,3456257
ALLSEC-BE,3021057
ALMONDZ,4280065
ALOKTEXT-BE,1498369
ALPA,3801089
ALPHAGEO,3736833
ALPSINDUS-BE,1951489
AMARAJABAT,25601
AMBANIORG-SM,1045249
AMBER,303361
AMBIKCO,3899905
AMBUJACEM,325121
AMDIND,3685889
AMJLAND,665089
AMJUMBO-SM,346369
AMRUTANJAN,4492033
ANANTRAJ,3486721
ANDHRABANK,2524673
ANDHRACEMT-BE,5228289
ANDHRSUGAR,34817
ANIKINDS,4264193
ANKITMETAL-BE,7535105
ANSALAPI,37889
ANSALHSG,3500289
ANTGRAPHIC-BE,2120961
ANUP,2307585
APARINDS,2941697
APCL,5235969
APCOTEXIND,39425
APEX,5535489
APLAPOLLO,6599681
APLLTD,6483969
APOLLO,290305
APOLLOHOSP,40193
APOLLOTYRE,41729
APOLSINHOT,1613313
APTECHT,2753281
ARCHIDPLY,4299521
ARCHIES,1456129
ARCOTECH-BE,644865
ARENTERP,46337
ARIES,3892225
ARIHANT,3554561
ARIHANTSUP-BE,5164801
ARMANFIN,4419329
AROGRANITE,3726593
ARROWGREEN,2370561
ARROWTEX,4404481
ARSHIYA,4562177
ARSSINFRA-BE,4660737
ARTEDZ-SM,2391041
ARTNIRMAN-SM,4811777
ARVEE-SM,376321
ARVIND,49409
ARVINDFASN,2332417
ARVSMART,2676993
ASAHIINDIA,1376769
ASAHISONG,6422529
ASAL,2722305
ASHAPURMIN-BE,2000385
ASHIANA,6247169
ASHIMASYN,52737
ASHOKA,5166593
ASHOKLEY,54273
ASIANHOTNR,4716033
ASIANPAINT,60417
ASIANTILES,3811585
ASLIND-SM,5248513
ASPINWALL,4421121
ASSAMCO-BE,1872897
ASTEC,4538369
ASTERDM,386049
ASTRAL,3691009
ASTRAMICRO,2974209
ASTRAZEN,1436161
ASTRON,223745
ATFL,425729
ATLANTA,3477761
ATLASCYCLE-BE,2027777
ATUL,67329
ATULAUTO,7685889
AUBANK,5436929
AURDIS-SM,4803073
AURIONPRO,3077633
AUROPHARMA,70401
AUSOMENT,1033473
AUTOAXLES,71169
AUTOIND,3611137
AUTOLITIND-BZ,2575617
AVADHSUGAR,5479937
AVANTIFEED,2031617
AVENTUS-IT,2669569
AVG-SM,670977
AVONMPL-SM,1062913
AVSL-SM,4785153
AVTNPL,3586049
AXISBANK,1510401
AXISCADES,2415617
AXISGOLD,5256193
AYMSYNTEX,2632961
BABAFOOD-SM,5569537
BAFNAPHARM-BE,7435009
BAGFILMS,2873857
BAJAJ-AUTO,4267265
BAJAJCON,4999937
BAJAJELEC,3848705
BAJAJFINSV,4268801
BAJAJHIND,78849
BAJAJHLDNG,78081
BAJFINANCE,81153
BALAJITELE,2344449
BALAMINES,3712257
BALAXI-BE,2896385
BALKRISHNA,2606337
BALKRISIND,85761
BALLARPUR,3937025
BALMLAWRIE,86529
BALPHARMA,3440897
BALRAMCHIN,87297
BANARBEADS,88833
BANARISUG,89601
BANCOINDIA,3553281
BANDHANBNK,579329
BANG,3917569
BANKA-SM,390657
BANKBARODA,1195009
BANKBEES,2928385
BANKINDIA,1214721
BANSAL-SM,5444353
BANSWRAS,3714817
BARTRONICS,3368705
BASF,94209
BASML,3080705
BATAINDIA,94977
BAYERCROP,4589313
BBL,3522817
BBTC,97281
BBTCL-SM,1455873
BCG-BE,2263297
BCONCEPTS-SM,256513
BDL,548865
BDR-IT,1099265
BEARDSELL,4590849
BEDMUTHA,5170177
BEL,98049
BEML,101121
BEPL,107265
BERGEPAINT,103425
BETA-SM,20737
BFINVEST,5404929
BFUTILITIE,3729153
BGLOBAL-BE,6345473
BGRENERGY,3888385
BHAGERIA,3430401
BHAGYANGR,5318657
BHAGYAPROP,5460993
BHALCHANDR-IT,2556161
BHANDARI,5006337
BHARATFIN,4995329
BHARATFORG,108033
BHARATGEAR,109057
BHARATRAS,981505
BHARATWIRE,4127489
BHARTIARTL,2714625
BHEL,112129
BIGBLOC,4718337
BIL,2009089
BILENERGY-BE,5523201
BINANIIND-BZ,2576641
BINDALAGRO,120577
BIOCON,2911489
BIOFILCHEM-BE,2023169
BIRLACABLE,122113
BIRLACORPN,122881
BIRLAMONEY,3901185
BKMINDST-BE,1909505
BLBLIMITED-BE,2083585
BLISSGVS,4931841
